State,2014,2013,2012,2011,2010,2009,2008,2007
Alaska,8.1278026906,10.5344295992,10.2979613173,17.2932330827,10.305958132,16.4156626506,11.7861482382,15.5298416565
Alabama,22.8677921508,30.7741522713,29.660203494,32.5476790212,35.6434005954,35.6414473684,28.6615927232,30.3741746148
Arkansas,48.8079019074,56.3483735572,61.9838633128,47.3714953271,37.4366401159,39.3408134642,37.9416282642,40.43274244
Arizona,24.478323011,29.6440068169,27.3137497788,30.4836252856,47.3853110641,43.169621629,44.1864189622,41.1579953571
California,62.6904310587,61.5746676564,61.7895385435,59.488683588,58.7795594428,58.9441937936,65.6012187708,65.096484538
Colorado,19.3956920622,22.1755177363,56.7032442748,59.3410955279,41.6677431856,40.8501440922,53.366786465,50.9947275923
Connecticut,20.6516853933,20.660971223,16.5122356854,15.5969479354,11.5616311399,10.901194354,13.118651394,18.0946006247
Delaware,4.1065482797,1.0570824524,2.1825396825,2.1256038647,5.2953156823,4.1592920354,7.6098606645,19.5098963242
Florida,52.2146261615,58.9026785341,64.0529273156,63.2649461076,62.0910149259,60.6701559381,58.6825631006,57.2926418274
Georgia,50.2814599601,49.8556360851,59.4462858257,58.4123957092,55.9084492841,53.7377210216,53.5742340927,57.5283873924
Hawaii,44.882914137,40.8839779006,40.3458213256,41.3057530705,39.4069249229,43.4797647873,55.4033987791,55.3212520593
Iowa,6.2780269058,4.3450064851,5.0546448087,3.8608806637,3.6828135368,4.7041420118,7.7405857741,10.7168983175
Idaho,30.2281368821,21.1678832117,24.6951219512,27.9217826285,33.3333333333,23.8267148014,14.6174863388,35.6775300172
Illinois,12.9549095903,16.3575418994,21.1750565611,20.8437433079,15.1927752692,15.6812522234,22.0320565064,21.4115064247
Indiana,6.7492882264,11.4829396325,14.2035468925,10.4260813428,18.893366398,25.4581901489,19.9053414469,17.1513998369
Kansas,8.9471793029,11.5484589677,12.4441132638,11.5093588212,9.6837944664,10.3594080338,13.6939010357,13.3585978209
Kentucky,16.3293377874,14.3755958055,17.4187380497,14.1034139874,15.4612713272,11.6686114352,23.8662897874,26.3118719762
Louisiana,23.9470256188,30.1377726751,51.0164693773,63.3516306103,67.1847460343,67.0665387076,32.4940704251,28.7040407718
Massachusetts,3.573951123,4.4668663619,4.1254785441,4.218674988,6.3138291481,6.4978684924,7.3693644009,9.3475242943
Maryland,20.2265784114,23.4247410116,37.1482970171,36.3636363636,39.9262332872,36.3480936912,34.3312723723,33.3402575821
Maine,3.4115920763,2.0557029178,1.3790221479,1.1851246424,1.1769651114,1.5548281506,1.6717325228,2.3502653525
Michigan,17.6003925738,18.9815216448,18.4402795426,17.6033371255,21.7414611732,19.3288111389,58.2943925234,59.172998763
